Word,Australia and New Zealand,Central Asia,Eastern Asia,Eastern Europe,Latin America and the Caribbean,Melanesia,Micronesia,Northern Africa,Northern America,Northern Europe,Polynesia,South-eastern Asia,Southern Asia,Southern Europe,Sub-Saharan Africa,Western Asia,Western Europe,global_freq
rush,106.0,132.0,130.0,209.0,1022.0,137.0,165.0,97.0,121.0,249.0,218.0,176.0,215.0,265.0,1041.0,361.0,110.0,4754.0
rustle,116.0,105.0,193.0,413.0,916.0,118.0,63.0,71.0,41.0,485.0,106.0,386.0,189.0,346.0,1307.0,314.0,88.0,5257.0
rustling,18.0,31.0,62.0,97.0,175.0,28.0,15.0,19.0,11.0,115.0,21.0,89.0,43.0,79.0,245.0,64.0,20.0,1132.0
sacred,103.0,83.0,107.0,126.0,930.0,329.0,253.0,72.0,42.0,205.0,394.0,237.0,166.0,190.0,1319.0,120.0,21.0,4697.0
sacrifice,33.0,11.0,101.0,117.0,321.0,44.0,50.0,75.0,33.0,101.0,48.0,121.0,73.0,183.0,373.0,110.0,56.0,1850.0
sadness,20.0,16.0,53.0,67.0,211.0,11.0,14.0,28.0,21.0,71.0,35.0,46.0,48.0,57.0,155.0,69.0,39.0,961.0
safe,17.0,21.0,45.0,39.0,195.0,23.0,27.0,30.0,14.0,42.0,57.0,33.0,59.0,45.0,161.0,144.0,22.0,974.0
safeguard,9.0,3.0,4.0,11.0,60.0,7.0,18.0,9.0,7.0,21.0,23.0,19.0,11.0,21.0,62.0,13.0,12.0,310.0
safely,12.0,22.0,18.0,18.0,71.0,16.0,23.0,15.0,9.0,42.0,42.0,6.0,14.0,37.0,94.0,44.0,17.0,500.0
safety,12.0,19.0,32.0,33.0,176.0,20.0,28.0,37.0,16.0,33.0,41.0,23.0,62.0,26.0,146.0,108.0,20.0,832.0
sahara,0.0,1.0,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,844.0
sail,17.0,0.0,8.0,7.0,547.0,83.0,215.0,6.0,83.0,155.0,599.0,16.0,24.0,77.0,398.0,55.0,9.0,2299.0
sailor,38.0,0.0,16.0,1.0,302.0,5.0,24.0,0.0,134.0,133.0,45.0,2.0,13.0,103.0,161.0,38.0,4.0,1019.0
saint,0.0,0.0,0.0,6.0,814.0,1.0,0.0,0.0,455.0,1.0,0.0,0.0,1.0,21.0,317.0,3.0,34.0,1653.0
salt,43.0,0.0,1.0,2.0,406.0,30.0,69.0,13.0,58.0,76.0,100.0,15.0,31.0,51.0,134.0,26.0,18.0,1073.0
salty,80.0,0.0,28.0,1.0,501.0,34.0,79.0,13.0,86.0,101.0,121.0,27.0,24.0,53.0,219.0,57.0,16.0,1440.0
samarkand,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,302.0
sample,15.0,1.0,5.0,5.0,77.0,0.0,4.0,3.0,39.0,4.0,0.0,4.0,4.0,2.0,30.0,10.0,9.0,212.0
san,0.0,0.0,0.0,0.0,1571.0,0.0,7.0,0.0,1.0,0.0,0.0,166.0,0.0,753.0,23.0,0.0,9.0,2530.0
sanctuary,71.0,18.0,69.0,110.0,433.0,26.0,45.0,41.0,42.0,106.0,62.0,84.0,115.0,142.0,314.0,200.0,61.0,1939.0
sand,103.0,423.0,33.0,6.0,1001.0,130.0,333.0,1148.0,118.0,60.0,435.0,40.0,123.0,56.0,1620.0,1435.0,12.0,7076.0
sands,15.0,97.0,5.0,0.0,26.0,0.0,3.0,197.0,2.0,0.0,3.0,6.0,3.0,0.0,204.0,213.0,0.0,774.0
sandy,24.0,3.0,3.0,2.0,327.0,35.0,90.0,16.0,15.0,11.0,114.0,16.0,25.0,15.0,182.0,40.0,2.0,920.0
satchel,9.0,46.0,14.0,73.0,99.0,8.0,8.0,40.0,3.0,85.0,6.0,28.0,14.0,61.0,212.0,54.0,17.0,777.0
savannah,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,303.0
save,50.0,23.0,73.0,90.0,333.0,26.0,70.0,26.0,44.0,127.0,78.0,91.0,55.0,122.0,472.0,108.0,20.0,1808.0
say,615.0,547.0,844.0,1056.0,5067.0,471.0,694.0,719.0,657.0,1387.0,988.0,895.0,888.0,1407.0,4866.0,1887.0,819.0,23807.0
scale,9.0,11.0,10.0,10.0,113.0,23.0,47.0,15.0,7.0,29.0,47.0,31.0,28.0,37.0,104.0,18.0,2.0,541.0
scan,14.0,8.0,26.0,29.0,120.0,7.0,11.0,22.0,28.0,29.0,18.0,13.0,23.0,33.0,89.0,25.0,44.0,539.0
scar,6.0,6.0,10.0,26.0,121.0,3.0,36.0,43.0,8.0,12.0,7.0,16.0,35.0,38.0,157.0,137.0,11.0,672.0
scatter,14.0,21.0,37.0,23.0,152.0,15.0,46.0,54.0,22.0,42.0,47.0,19.0,33.0,42.0,177.0,87.0,18.0,849.0
scene,25.0,42.0,66.0,81.0,411.0,22.0,28.0,89.0,42.0,88.0,33.0,93.0,61.0,147.0,322.0,147.0,100.0,1797.0
scent,223.0,168.0,226.0,420.0,2058.0,156.0,162.0,247.0,204.0,556.0,302.0,319.0,301.0,529.0,1607.0,732.0,248.0,8458.0
scholar,1.0,39.0,26.0,11.0,16.0,1.0,2.0,34.0,0.0,16.0,1.0,10.0,25.0,21.0,101.0,71.0,11.0,386.0
scholarship,2.0,2.0,5.0,1.0,103.0,0.0,10.0,5.0,6.0,0.0,6.0,11.0,25.0,2.0,181.0,13.0,2.0,374.0
school,70.0,15.0,49.0,40.0,672.0,71.0,152.0,45.0,78.0,36.0,161.0,103.0,231.0,61.0,861.0,163.0,25.0,2833.0
science,15.0,1.0,6.0,2.0,66.0,2.0,21.0,6.0,30.0,6.0,9.0,8.0,14.0,2.0,100.0,21.0,4.0,313.0
scientist,25.0,0.0,0.0,0.0,76.0,1.0,6.0,2.0,80.0,5.0,24.0,1.0,3.0,0.0,36.0,8.0,1.0,268.0
scoff,1.0,5.0,3.0,11.0,50.0,11.0,11.0,9.0,1.0,20.0,5.0,12.0,17.0,13.0,95.0,13.0,3.0,280.0
scroll,3.0,84.0,69.0,26.0,86.0,7.0,13.0,186.0,21.0,20.0,5.0,22.0,49.0,211.0,231.0,178.0,44.0,1255.0
sea,234.0,30.0,130.0,54.0,5290.0,1066.0,1852.0,159.0,662.0,1660.0,2501.0,346.0,310.0,966.0,2288.0,1055.0,116.0,18719.0
seal,7.0,5.0,16.0,10.0,48.0,4.0,3.0,12.0,33.0,51.0,5.0,7.0,6.0,32.0,24.0,24.0,35.0,322.0
search,117.0,55.0,107.0,161.0,749.0,54.0,67.0,167.0,159.0,236.0,121.0,127.0,123.0,291.0,581.0,371.0,240.0,3726.0
seashell,13.0,0.0,3.0,0.0,128.0,17.0,25.0,0.0,12.0,12.0,63.0,10.0,16.0,16.0,69.0,6.0,1.0,391.0
season,91.0,95.0,126.0,230.0,359.0,32.0,32.0,58.0,100.0,253.0,52.0,165.0,188.0,227.0,670.0,194.0,85.0,2957.0
seat,24.0,8.0,38.0,40.0,102.0,4.0,11.0,20.0,41.0,40.0,19.0,19.0,30.0,37.0,131.0,30.0,55.0,649.0
seaweed,4.0,0.0,3.0,1.0,84.0,29.0,56.0,0.0,20.0,31.0,64.0,4.0,7.0,17.0,46.0,7.0,1.0,374.0
secluded,27.0,16.0,20.0,20.0,221.0,28.0,35.0,14.0,32.0,47.0,67.0,20.0,34.0,71.0,92.0,50.0,33.0,827.0
second,28.0,28.0,34.0,68.0,141.0,24.0,43.0,32.0,23.0,82.0,54.0,41.0,35.0,95.0,198.0,45.0,26.0,997.0
secret,248.0,380.0,379.0,753.0,2471.0,228.0,368.0,540.0,340.0,1209.0,502.0,434.0,446.0,1078.0,2436.0,963.0,634.0,13409.0
secrets,10.0,3.0,8.0,17.0,106.0,5.0,7.0,24.0,29.0,47.0,10.0,13.0,4.0,41.0,75.0,30.0,68.0,497.0
secure,17.0,4.0,18.0,26.0,228.0,31.0,72.0,16.0,33.0,31.0,80.0,28.0,44.0,45.0,174.0,44.0,24.0,915.0
see,170.0,221.0,275.0,442.0,1777.0,209.0,351.0,280.0,216.0,650.0,447.0,468.0,342.0,491.0,1925.0,712.0,172.0,9148.0
seed,18.0,25.0,62.0,81.0,266.0,5.0,29.0,24.0,11.0,47.0,25.0,84.0,61.0,18.0,605.0,243.0,8.0,1612.0
seek,306.0,518.0,537.0,714.0,2672.0,388.0,427.0,730.0,240.0,1208.0,672.0,618.0,579.0,1238.0,3852.0,1195.0,394.0,16288.0
seeker,14.0,31.0,19.0,33.0,70.0,11.0,3.0,48.0,10.0,52.0,8.0,19.0,36.0,66.0,141.0,64.0,22.0,647.0
seep,9.0,6.0,15.0,28.0,73.0,5.0,8.0,13.0,8.0,42.0,9.0,14.0,21.0,21.0,72.0,40.0,9.0,393.0
self,20.0,19.0,53.0,65.0,183.0,11.0,11.0,51.0,25.0,45.0,25.0,42.0,59.0,66.0,156.0,92.0,47.0,970.0
sell,17.0,17.0,41.0,33.0,353.0,4.0,6.0,39.0,21.0,14.0,10.0,54.0,56.0,28.0,370.0,81.0,19.0,1163.0
send,54.0,25.0,69.0,71.0,365.0,51.0,55.0,52.0,64.0,152.0,79.0,49.0,61.0,116.0,341.0,107.0,45.0,1756.0
sensation,9.0,5.0,10.0,17.0,70.0,7.0,7.0,10.0,11.0,41.0,10.0,26.0,8.0,27.0,73.0,18.0,21.0,370.0
sense,746.0,462.0,767.0,988.0,5162.0,517.0,711.0,698.0,717.0,1354.0,952.0,859.0,810.0,1292.0,4457.0,1679.0,778.0,22949.0
sentinel,24.0,12.0,15.0,62.0,114.0,8.0,9.0,23.0,27.0,81.0,12.0,18.0,16.0,85.0,204.0,75.0,19.0,804.0
separate,5.0,3.0,29.0,16.0,48.0,7.0,6.0,11.0,3.0,13.0,12.0,9.0,12.0,25.0,38.0,47.0,13.0,297.0
serene,26.0,47.0,86.0,76.0,236.0,29.0,45.0,33.0,33.0,123.0,60.0,106.0,99.0,108.0,253.0,90.0,80.0,1530.0
series,21.0,12.0,35.0,27.0,213.0,17.0,19.0,28.0,42.0,23.0,20.0,28.0,27.0,58.0,113.0,65.0,73.0,821.0
serpent,24.0,1.0,7.0,16.0,127.0,29.0,26.0,18.0,2.0,44.0,21.0,31.0,9.0,50.0,127.0,20.0,1.0,553.0
serve,17.0,16.0,40.0,26.0,228.0,18.0,24.0,37.0,34.0,24.0,30.0,73.0,41.0,53.0,222.0,89.0,36.0,1008.0
session,29.0,5.0,13.0,18.0,134.0,4.0,19.0,15.0,11.0,10.0,17.0,40.0,23.0,14.0,187.0,47.0,13.0,599.0
set,388.0,485.0,407.0,596.0,4200.0,417.0,592.0,672.0,452.0,858.0,897.0,730.0,736.0,1050.0,4347.0,1518.0,439.0,18784.0
setting,1.0,4.0,14.0,7.0,53.0,3.0,5.0,7.0,17.0,11.0,12.0,18.0,11.0,18.0,58.0,30.0,19.0,288.0
settle,154.0,56.0,117.0,167.0,645.0,68.0,73.0,121.0,137.0,258.0,100.0,102.0,124.0,208.0,588.0,239.0,119.0,3276.0
seven,17.0,10.0,23.0,6.0,93.0,11.0,5.0,8.0,9.0,20.0,15.0,3.0,2.0,12.0,63.0,34.0,10.0,341.0
shade,64.0,55.0,53.0,123.0,574.0,40.0,88.0,110.0,51.0,133.0,127.0,114.0,100.0,137.0,763.0,253.0,41.0,2826.0
shadow,277.0,177.0,488.0,842.0,1577.0,161.0,187.0,458.0,171.0,1080.0,215.0,343.0,346.0,880.0,1946.0,782.0,391.0,10321.0
shadows,12.0,6.0,24.0,37.0,61.0,6.0,1.0,9.0,2.0,32.0,2.0,14.0,29.0,31.0,101.0,33.0,14.0,414.0
shake,58.0,30.0,108.0,110.0,641.0,53.0,78.0,84.0,144.0,174.0,80.0,94.0,88.0,168.0,477.0,191.0,102.0,2680.0
shall,32.0,40.0,32.0,52.0,133.0,35.0,34.0,55.0,15.0,124.0,61.0,66.0,32.0,153.0,281.0,63.0,26.0,1234.0
shape,156.0,133.0,185.0,232.0,1220.0,94.0,146.0,212.0,124.0,269.0,229.0,209.0,197.0,385.0,1238.0,512.0,210.0,5751.0
share,1078.0,1247.0,1396.0,1889.0,10265.0,960.0,1449.0,1582.0,1005.0,2125.0,2101.0,2079.0,1973.0,2638.0,11295.0,4241.0,1149.0,48472.0
shared,20.0,7.0,16.0,18.0,141.0,7.0,15.0,17.0,22.0,19.0,15.0,23.0,28.0,34.0,143.0,86.0,32.0,643.0
sharp,6.0,10.0,21.0,16.0,61.0,5.0,8.0,11.0,18.0,32.0,9.0,7.0,15.0,28.0,58.0,26.0,20.0,351.0
shatter,9.0,6.0,26.0,33.0,70.0,4.0,4.0,33.0,15.0,41.0,2.0,11.0,32.0,53.0,83.0,87.0,10.0,519.0
shelf,4.0,5.0,20.0,22.0,37.0,1.0,4.0,11.0,20.0,33.0,1.0,1.0,9.0,33.0,23.0,27.0,42.0,293.0
shell,69.0,2.0,15.0,12.0,991.0,325.0,603.0,4.0,76.0,148.0,945.0,68.0,34.0,73.0,443.0,73.0,2.0,3883.0
shelter,15.0,37.0,16.0,29.0,180.0,26.0,47.0,35.0,18.0,12.0,44.0,27.0,50.0,36.0,252.0,110.0,5.0,939.0
shield,4.0,5.0,13.0,17.0,42.0,9.0,7.0,20.0,3.0,18.0,3.0,7.0,13.0,42.0,69.0,45.0,6.0,323.0
shift,79.0,102.0,147.0,194.0,814.0,95.0,146.0,285.0,145.0,304.0,183.0,141.0,150.0,221.0,961.0,434.0,120.0,4521.0
shimmer,157.0,163.0,193.0,317.0,1125.0,206.0,316.0,180.0,136.0,693.0,414.0,331.0,187.0,461.0,1372.0,364.0,129.0,6744.0
shimmering,89.0,100.0,94.0,145.0,597.0,96.0,159.0,98.0,62.0,289.0,199.0,158.0,104.0,251.0,695.0,220.0,81.0,3437.0
shine,96.0,61.0,120.0,135.0,773.0,55.0,125.0,115.0,54.0,150.0,200.0,124.0,136.0,192.0,780.0,313.0,81.0,3510.0
ship,24.0,0.0,4.0,14.0,232.0,6.0,35.0,3.0,158.0,119.0,104.0,12.0,9.0,88.0,139.0,20.0,7.0,974.0
shipwreck,38.0,0.0,0.0,1.0,148.0,0.0,9.0,0.0,95.0,27.0,17.0,0.0,12.0,19.0,43.0,13.0,7.0,429.0
shiver,26.0,28.0,48.0,81.0,260.0,32.0,30.0,23.0,38.0,176.0,46.0,56.0,41.0,118.0,241.0,71.0,45.0,1360.0
shop,16.0,34.0,105.0,32.0,214.0,0.0,0.0,49.0,49.0,36.0,0.0,62.0,90.0,64.0,187.0,216.0,135.0,1289.0
shore,215.0,16.0,49.0,36.0,2507.0,529.0,1055.0,51.0,269.0,454.0,1575.0,154.0,175.0,313.0,1641.0,276.0,74.0,9389.0
shoreline,21.0,0.0,6.0,3.0,227.0,36.0,78.0,0.0,25.0,37.0,97.0,6.0,10.0,20.0,88.0,20.0,4.0,678.0
short,24.0,4.0,33.0,19.0,167.0,10.0,13.0,11.0,25.0,33.0,13.0,18.0,27.0,23.0,71.0,45.0,27.0,563.0
shoulder,75.0,52.0,119.0,163.0,774.0,79.0,92.0,126.0,82.0,146.0,127.0,121.0,126.0,162.0,751.0,261.0,83.0,3339.0
shout,50.0,32.0,135.0,71.0,684.0,90.0,119.0,155.0,79.0,130.0,161.0,78.0,118.0,124.0,602.0,213.0,42.0,2883.0
show,46.0,50.0,55.0,83.0,444.0,54.0,84.0,75.0,31.0,92.0,107.0,113.0,78.0,120.0,495.0,112.0,44.0,2083.0
showcase,66.0,43.0,89.0,84.0,890.0,15.0,48.0,82.0,82.0,31.0,77.0,163.0,169.0,100.0,741.0,321.0,170.0,3171.0
shroud,26.0,24.0,39.0,71.0,161.0,32.0,35.0,25.0,26.0,119.0,46.0,20.0,36.0,90.0,167.0,59.0,34.0,1010.0
si,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,740.0,0.0,0.0,95.0,1018.0
sigh,31.0,26.0,44.0,52.0,239.0,10.0,33.0,49.0,38.0,74.0,59.0,55.0,56.0,59.0,236.0,109.0,40.0,1210.0
sight,105.0,87.0,103.0,136.0,732.0,68.0,74.0,92.0,80.0,166.0,132.0,141.0,136.0,158.0,666.0,259.0,83.0,3218.0
sign,62.0,39.0,59.0,45.0,417.0,54.0,79.0,38.0,60.0,85.0,86.0,58.0,46.0,75.0,314.0,107.0,58.0,1682.0
significance,67.0,28.0,36.0,32.0,372.0,40.0,54.0,46.0,34.0,45.0,72.0,74.0,60.0,57.0,338.0,150.0,55.0,1560.0
significant,15.0,7.0,13.0,17.0,131.0,12.0,23.0,13.0,19.0,9.0,8.0,12.0,22.0,26.0,75.0,42.0,32.0,476.0
silence,81.0,68.0,275.0,219.0,795.0,78.0,71.0,203.0,92.0,248.0,98.0,114.0,214.0,234.0,791.0,381.0,141.0,4103.0
silent,46.0,47.0,115.0,124.0,365.0,43.0,58.0,91.0,50.0,130.0,61.0,105.0,114.0,164.0,586.0,239.0,48.0,2386.0
silhouette,29.0,20.0,22.0,40.0,177.0,18.0,25.0,47.0,31.0,44.0,52.0,24.0,29.0,49.0,164.0,61.0,58.0,890.0
silk,0.0,390.0,31.0,5.0,15.0,0.0,3.0,20.0,0.0,9.0,4.0,49.0,34.0,16.0,33.0,94.0,12.0,715.0
silver,49.0,81.0,73.0,189.0,442.0,35.0,59.0,73.0,43.0,271.0,66.0,101.0,94.0,269.0,469.0,239.0,87.0,2640.0
silvery,9.0,10.0,28.0,36.0,98.0,7.0,26.0,17.0,12.0,79.0,28.0,33.0,14.0,53.0,97.0,37.0,19.0,603.0
simple,27.0,52.0,67.0,113.0,257.0,19.0,13.0,47.0,28.0,93.0,40.0,106.0,114.0,156.0,282.0,152.0,84.0,1650.0
simplicity,15.0,6.0,11.0,29.0,65.0,1.0,1.0,7.0,17.0,10.0,12.0,19.0,28.0,26.0,80.0,28.0,11.0,366.0
simply,8.0,6.0,5.0,14.0,71.0,3.0,9.0,13.0,5.0,31.0,10.0,28.0,12.0,21.0,56.0,36.0,17.0,345.0
sin,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,410.0,0.0,1.0,0.0,149.0,0.0,0.0,0.0,568.0
sing,73.0,111.0,90.0,164.0,785.0,193.0,240.0,44.0,42.0,266.0,310.0,168.0,186.0,225.0,932.0,136.0,41.0,4006.0
singe,17.0,24.0,10.0,22.0,102.0,21.0,36.0,6.0,4.0,37.0,49.0,30.0,24.0,33.0,169.0,23.0,7.0,614.0
single,12.0,20.0,48.0,37.0,116.0,11.0,17.0,18.0,20.0,32.0,20.0,55.0,34.0,40.0,145.0,51.0,16.0,692.0
sink,49.0,20.0,63.0,71.0,455.0,53.0,93.0,62.0,59.0,77.0,134.0,69.0,101.0,78.0,404.0,150.0,40.0,1978.0
sip,29.0,5.0,37.0,22.0,148.0,4.0,1.0,18.0,42.0,17.0,2.0,13.0,16.0,42.0,49.0,41.0,49.0,535.0
siren,5.0,3.0,27.0,12.0,185.0,1.0,8.0,11.0,10.0,10.0,12.0,4.0,8.0,58.0,41.0,48.0,8.0,451.0
sister,15.0,10.0,22.0,12.0,33.0,8.0,11.0,17.0,8.0,10.0,19.0,22.0,31.0,20.0,124.0,52.0,4.0,418.0
sit,251.0,354.0,385.0,573.0,2640.0,309.0,406.0,432.0,247.0,551.0,594.0,592.0,631.0,684.0,3464.0,1158.0,237.0,13508.0
site,43.0,30.0,11.0,16.0,387.0,72.0,48.0,86.0,55.0,43.0,48.0,26.0,42.0,60.0,197.0,142.0,27.0,1333.0
situation,10.0,3.0,36.0,25.0,103.0,6.0,8.0,23.0,15.0,10.0,16.0,13.0,28.0,15.0,97.0,91.0,9.0,508.0
sixteen,6.0,13.0,21.0,18.0,105.0,14.0,17.0,14.0,4.0,22.0,26.0,22.0,36.0,21.0,133.0,28.0,4.0,504.0
skeptical,8.0,20.0,15.0,45.0,186.0,37.0,57.0,21.0,20.0,63.0,48.0,56.0,43.0,40.0,324.0,58.0,6.0,1047.0
skepticism,12.0,13.0,14.0,28.0,152.0,10.0,23.0,23.0,24.0,44.0,27.0,41.0,35.0,38.0,268.0,58.0,8.0,818.0
sketch,26.0,30.0,90.0,87.0,501.0,8.0,14.0,43.0,59.0,62.0,17.0,89.0,95.0,149.0,276.0,176.0,149.0,1871.0
sketchbook,5.0,5.0,32.0,20.0,197.0,1.0,1.0,12.0,20.0,29.0,3.0,16.0,24.0,52.0,58.0,44.0,43.0,562.0
skill,13.0,29.0,25.0,17.0,194.0,21.0,44.0,41.0,14.0,14.0,92.0,52.0,76.0,33.0,365.0,90.0,21.0,1141.0
skilled,4.0,39.0,18.0,9.0,91.0,23.0,35.0,41.0,8.0,15.0,81.0,28.0,47.0,23.0,168.0,86.0,13.0,729.0
skin,60.0,45.0,36.0,40.0,839.0,88.0,116.0,90.0,53.0,117.0,199.0,75.0,63.0,77.0,757.0,131.0,11.0,2797.0
sky,452.0,592.0,526.0,569.0,3522.0,432.0,724.0,626.0,359.0,927.0,972.0,598.0,697.0,865.0,3917.0,1314.0,234.0,17326.0
sleep,8.0,17.0,27.0,15.0,145.0,17.0,46.0,25.0,21.0,33.0,56.0,31.0,28.0,32.0,191.0,56.0,9.0,757.0
slightly,22.0,10.0,52.0,55.0,191.0,18.0,20.0,21.0,34.0,79.0,22.0,43.0,28.0,62.0,182.0,55.0,53.0,947.0
sling,6.0,1.0,7.0,18.0,105.0,3.0,2.0,11.0,12.0,11.0,7.0,16.0,14.0,16.0,71.0,16.0,13.0,329.0
slip,21.0,26.0,60.0,73.0,294.0,23.0,39.0,41.0,35.0,87.0,49.0,53.0,60.0,61.0,222.0,86.0,53.0,1283.0
slow,8.0,11.0,10.0,17.0,94.0,3.0,15.0,4.0,17.0,14.0,13.0,11.0,10.0,14.0,69.0,24.0,15.0,349.0
slowly,67.0,54.0,94.0,132.0,669.0,94.0,130.0,88.0,68.0,164.0,150.0,159.0,159.0,161.0,872.0,267.0,50.0,3378.0
slumber,7.0,14.0,10.0,20.0,47.0,5.0,6.0,25.0,10.0,40.0,16.0,10.0,12.0,36.0,56.0,16.0,2.0,332.0
small,440.0,485.0,590.0,891.0,4460.0,409.0,540.0,581.0,551.0,1173.0,833.0,836.0,782.0,1127.0,4152.0,1502.0,569.0,19921.0
smell,34.0,9.0,36.0,41.0,198.0,14.0,17.0,17.0,46.0,46.0,16.0,26.0,23.0,38.0,124.0,44.0,28.0,757.0
smile,389.0,321.0,561.0,680.0,3764.0,287.0,477.0,414.0,431.0,833.0,679.0,727.0,663.0,894.0,3473.0,1135.0,518.0,16246.0
smoke,4.0,7.0,10.0,23.0,63.0,25.0,4.0,3.0,8.0,53.0,5.0,7.0,7.0,25.0,55.0,43.0,5.0,347.0
smooth,17.0,21.0,17.0,51.0,198.0,19.0,32.0,27.0,13.0,80.0,43.0,28.0,28.0,77.0,181.0,65.0,27.0,924.0
snow,7.0,79.0,24.0,161.0,59.0,0.0,0.0,4.0,118.0,178.0,0.0,1.0,50.0,80.0,19.0,32.0,103.0,915.0
soak,16.0,13.0,10.0,9.0,157.0,12.0,8.0,13.0,16.0,11.0,28.0,28.0,31.0,23.0,136.0,30.0,12.0,553.0
soar,34.0,106.0,94.0,58.0,418.0,44.0,52.0,50.0,19.0,93.0,108.0,83.0,134.0,102.0,464.0,127.0,35.0,2021.0
social,14.0,2.0,29.0,9.0,175.0,1.0,11.0,26.0,19.0,1.0,12.0,50.0,16.0,8.0,110.0,45.0,15.0,543.0
society,1.0,2.0,22.0,5.0,34.0,0.0,2.0,22.0,11.0,12.0,4.0,11.0,26.0,6.0,49.0,46.0,54.0,307.0
soft,189.0,204.0,343.0,517.0,1442.0,198.0,301.0,174.0,112.0,799.0,377.0,513.0,313.0,563.0,1558.0,487.0,209.0,8299.0
soften,17.0,16.0,52.0,47.0,228.0,13.0,31.0,50.0,27.0,64.0,52.0,45.0,49.0,66.0,249.0,80.0,46.0,1132.0
softly,72.0,79.0,160.0,194.0,712.0,69.0,84.0,89.0,74.0,237.0,122.0,168.0,166.0,211.0,674.0,260.0,102.0,3473.0
soil,29.0,12.0,13.0,53.0,195.0,15.0,15.0,25.0,11.0,47.0,12.0,39.0,38.0,29.0,317.0,117.0,12.0,979.0
solace,76.0,26.0,116.0,126.0,441.0,19.0,37.0,72.0,49.0,130.0,53.0,67.0,138.0,150.0,389.0,283.0,88.0,2260.0
soldier,1.0,1.0,57.0,38.0,36.0,34.0,1.0,73.0,8.0,18.0,0.0,14.0,34.0,80.0,49.0,213.0,21.0,678.0
solidarity,6.0,0.0,23.0,10.0,93.0,9.0,6.0,24.0,4.0,3.0,6.0,8.0,12.0,3.0,83.0,51.0,0.0,341.0
solitude,18.0,14.0,16.0,18.0,44.0,1.0,1.0,15.0,15.0,28.0,11.0,3.0,7.0,34.0,49.0,31.0,15.0,320.0
solo,3.0,0.0,6.0,0.0,28.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,254.0,10.0,4.0,10.0,321.0
som,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.0,0.0,26.0,0.0,33.0,0.0,0.0,10.0,838.0
somber,2.0,0.0,15.0,23.0,43.0,7.0,4.0,7.0,4.0,24.0,9.0,14.0,9.0,20.0,58.0,28.0,14.0,281.0
son,2.0,20.0,17.0,22.0,83.0,14.0,5.0,29.0,7.0,7.0,27.0,13.0,26.0,51.0,159.0,90.0,565.0,1137.0
song,141.0,256.0,247.0,315.0,1493.0,435.0,569.0,85.0,92.0,561.0,796.0,272.0,355.0,461.0,1989.0,278.0,72.0,8417.0
soon,56.0,59.0,94.0,128.0,724.0,55.0,77.0,96.0,68.0,141.0,137.0,159.0,169.0,141.0,806.0,258.0,66.0,3234.0
soothe,21.0,19.0,41.0,50.0,238.0,39.0,52.0,17.0,23.0,68.0,66.0,31.0,40.0,57.0,237.0,38.0,18.0,1055.0
soothing,10.0,12.0,13.0,33.0,124.0,26.0,28.0,8.0,5.0,48.0,39.0,23.0,23.0,33.0,84.0,28.0,5.0,542.0
sorrow,29.0,40.0,118.0,223.0,389.0,19.0,43.0,79.0,28.0,234.0,59.0,73.0,93.0,231.0,418.0,235.0,79.0,2390.0
soul,97.0,125.0,203.0,281.0,1095.0,82.0,93.0,177.0,103.0,351.0,176.0,131.0,205.0,400.0,818.0,340.0,166.0,4843.0
sound,355.0,273.0,473.0,621.0,4109.0,439.0,485.0,356.0,324.0,883.0,693.0,684.0,605.0,854.0,3566.0,1015.0,368.0,16103.0
source,30.0,29.0,37.0,71.0,336.0,44.0,88.0,49.0,23.0,118.0,118.0,66.0,60.0,104.0,559.0,122.0,50.0,1904.0
south,50.0,1.0,69.0,4.0,71.0,76.0,0.0,10.0,8.0,1.0,205.0,20.0,3.0,2.0,110.0,7.0,4.0,641.0
southern,108.0,1.0,19.0,2.0,47.0,3.0,7.0,2.0,1.0,6.0,15.0,1.0,8.0,7.0,23.0,11.0,0.0,261.0
space,48.0,37.0,84.0,84.0,408.0,23.0,21.0,46.0,44.0,74.0,40.0,86.0,81.0,87.0,401.0,232.0,85.0,1881.0
spark,95.0,79.0,163.0,164.0,926.0,56.0,92.0,142.0,118.0,156.0,131.0,145.0,192.0,196.0,878.0,361.0,131.0,4025.0
sparkle,176.0,264.0,254.0,358.0,1828.0,218.0,255.0,214.0,159.0,445.0,433.0,387.0,345.0,538.0,1888.0,615.0,225.0,8602.0
speak,382.0,500.0,673.0,930.0,3770.0,541.0,743.0,750.0,336.0,1230.0,929.0,784.0,721.0,1250.0,5062.0,1557.0,468.0,20626.0
